分类名称,自然表达,金额,币种,备注
宽带网络,宽带流量超出扣费50块,50,CNY,超额扣费
宽带网络,专线宽带每月1000元,1000,CNY,专线
宽带网络,香港宽频100M月费88HKD,88,HKD,百兆月费
宽带网络,宽带暂停保号费每月10元,10,CNY,保号
宽带网络,宽带过户费30块,30,CNY,过户
宽带网络,家庭宽带捆绑手机号每月99元,99,CNY,捆绑套餐
宽带网络,香港宽带安装费300HKD,300,HKD,安装费
宽带网络,宽带提速到500M每月加30元,30,CNY,提速加价
宽带网络,宽带欠费停机补交120块,120,CNY,欠费补交
宽带网络,香港网上行宽带月费158HKD,158,HKD,网上行
宽带网络,农村宽带每年480元,480,CNY,农村宽带
宽带网络,宽带路由器调试费50块,50,CNY,调试费
宽带网络,公寓宽带每月50元,50,CNY,公寓宽带
宽带网络,香港有线宽带月费78HKD,78,HKD,有线宽带
宽带网络,宽带年付送两个月共600元,600,CNY,年付优惠
宽带网络,宽带光模块更换80块,80,CNY,光模块
宽带网络,商铺宽带每月150元,150,CNY,商铺宽带
宽带网络,香港宽带公共天线费每月30HKD,30,HKD,公共天线
宽带网络,宽带客服投诉返还话费50元,50,CNY,投诉返还
宽带网络,宽带网线更换材料费20块,20,CNY,网线
宽带网络,千兆宽带每月120元,120,CNY,千兆月费
宽带网络,香港宽带合约到期续约优惠100HKD,100,HKD,续约优惠
医疗诊疗,去医院挂号看病花了300元,300,CNY,门诊
医疗诊疗,看牙医付了800块,800,CNY,看牙
医疗诊疗,私立医院问诊花了500HKD,500,HKD,私立问诊
医疗诊疗,体检套餐花了1200元,1200,CNY,体检
医疗诊疗,打针输液花了280块,280,CNY,输液
医疗诊疗,眼科检查花了150元,150,CNY,眼科
医疗诊疗,中医理疗花了380HKD,380,HKD,中医理疗
医疗诊疗,产检费用花了600元,600,CNY,产检
医疗诊疗,海外看病挂号200USD,200,USD,海外挂号
医疗诊疗,皮肤科就诊花了450块,450,CNY,皮肤科
医疗诊疗,骨科拍X光片花了180元,180,CNY,拍片
医疗诊疗,牙科洗牙花了200块,200,CNY,洗牙
医疗诊疗,香港私家医院诊金800HKD,800,HKD,私家诊金
医疗诊疗,血常规检查花了50元,50,CNY,血常规
医疗诊疗,心电图检查花了80块,80,CNY,心电图
医疗诊疗,妇科检查花了300元,300,CNY,妇科
医疗诊疗,针灸推拿一次120块,120,CNY,针灸推拿
医疗诊疗,香港公立医院挂号费50HKD,50,HKD,公立挂号
医疗诊疗,CT检查花了800元,800,CNY,CT检查
医疗诊疗,打破伤风针花了150块,150,CNY,破伤风针
医疗诊疗,耳鼻喉科检查花了200元,200,CNY,耳鼻喉
医疗诊疗,拔罐刮痧花了80块,80,CNY,拔罐刮痧
医疗诊疗,香港体检套餐1500HKD,1500,HKD,体检
医疗诊疗,B超检查花了120元,120,CNY,B超
医疗诊疗,外科缝合花了300块,300,CNY,缝合
